train_loss,val_loss,val_accuracy
0.6929740705580082,0.6916419125952811,0.8273584905660377
0.6906960847242823,0.6887903364199512,0.8490566037735849
0.6858541425668968,0.6827383884843791,0.8481132075471698
0.6784299348885159,0.6768954470472516,0.8471698113207548
0.6731351447555254,0.6742751596108922,0.8433962264150944
0.6699455328707425,0.6704428690784382,0.8566037735849057
0.6597780884436841,0.6459208906821485,0.85
0.6303694617073491,0.6251298189163208,0.8594339622641509
0.6153910380489421,0.6187934367161877,0.8556603773584905
0.6088541066871499,0.6096373105948826,0.8537735849056604
