,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_insol,koi_teq,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_disposition
7988,2.665875491,131.6187983,7.59461,161390.0,67.43,1199.89,1502.0,6234.0,4.351,1.159,291.99097,45.234138,12.156,FALSE POSITIVE
7989,2.6658312,131.627,5.771,40.8,0.99,1807.48,1663.0,6276.0,4.17,1.353,292.01447,45.205681,13.562,FALSE POSITIVE
7990,2.52557582,133.06586,2.32,35.4,0.62,818.81,1364.0,5821.0,4.421,1.036,293.96545,45.273571,13.564,CANDIDATE
7991,22.786522,153.2108,2.197,228.3,1.45,45.26,661.0,6146.0,4.497,0.943,294.00787,45.232689,15.382,CANDIDATE
7992,28.027891356,158.348172,17.3269,243230.0,31.3,8.86,440.0,5231.0,4.721,0.544,297.89444,45.211189,14.594,FALSE POSITIVE
7993,2.028512246,132.8392103,5.00309,121560.0,50.28,1333.24,1542.0,6105.0,4.412,1.025,287.12561,46.733479,13.281,FALSE POSITIVE
7994,1.332567821,132.0544581,3.4844,31.0,0.96,7802.17,2395.0,6600.0,4.047,1.681,295.15475,46.736641,13.191,FALSE POSITIVE
7995,1.332545609,132.05755,3.997,278.2,28.37,157611.61,5080.0,5154.0,2.435,16.486,295.2258,46.76009,13.504,FALSE POSITIVE
7996,1.33256256,132.04698,3.088,174.9,16.03,99175.88,4529.0,4601.0,2.321,12.581,295.23248,46.77037,12.295,FALSE POSITIVE
7997,1.33258981,132.0364,3.987,78.4,0.67,832.33,1369.0,5309.0,4.595,0.763,295.28519,46.770592,14.818,FALSE POSITIVE
7998,1.284241817,132.65223,1.965,166.5,1.18,1643.57,1623.0,5849.0,4.517,0.919,298.17337,48.173611,15.674,CANDIDATE
7999,2.161583501,131.80273,4.0537,50163.0,29.61,1741.01,1646.0,5888.0,4.167,1.219,298.29193,48.194691,13.945,FALSE POSITIVE
8000,8.7396758,136.5829,3.866,1431.0,3.29,26.17,577.0,4406.0,4.643,0.628,282.37042,48.259289,16.324,CANDIDATE
8001,15.9474242,137.49449,1.127,191.7,1.21,47.65,670.0,5472.0,4.44,0.877,285.35583,48.221489,14.801,CANDIDATE
8002,50.0122,153.9789,3.426,210.4,1.2,8.23,432.0,5357.0,4.503,0.814,294.20096,48.250061,15.174,CANDIDATE
8003,4.627775175,133.390355,3.4079,5675.1,32.62,275.68,1039.0,5845.0,4.541,0.874,296.44351,50.420441,14.69,FALSE POSITIVE
8004,28.7850347,145.7978,2.102,102.9,2.5,229.66,993.0,6581.0,3.824,2.42,286.68756,50.531506,13.57,FALSE POSITIVE
8005,6.096030635,135.0308909,18.4531,901660.0,406.97,3246.2,1925.0,7598.0,3.867,2.692,296.10501,50.518471,13.533,FALSE POSITIVE
8006,5.9371708,135.957,4.954,157.1,1.17,188.41,945.0,5475.0,4.426,0.923,289.14355,50.611198,15.379,FALSE POSITIVE
8007,0.577844035,131.88058,4.291,320.4,18.93,3647.63,1980.0,5693.0,4.57,0.816,290.65952,50.711342,13.766,FALSE POSITIVE
8008,1.75147897,132.47509,7.89,76.7,1.8,7086.5,2340.0,6823.0,4.04,2.037,297.79224,46.935829,12.655,FALSE POSITIVE
