,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_teff,st_logg,st_rad,st_tmag,ra,dec,tfopwg_disp
1456,6.9309657,5.2921448,6887.4200394,13.513657,586.1868131,1254.9567552,5847.0,4.3,1.59136,12.0599,18.689893,-81.982165,PC
1457,0.5055105,0.648232,2269.199137,4.9709812,4944.3687757,2138.6881512,4996.3,4.5,1.01489,11.9987,61.242969,-78.374681,PC
1458,3.5775562,3.531,4060.0,10.5098,476.6809228,1191.7267626,5823.3,4.3,1.23369,13.3639,112.767471,-72.667447,PC
1459,0.9017685,0.635,958.0,4.77441,446.986,1280.0,5828.0,3.9,1.36,9.6968,333.559598,-59.568325,PC
1460,4.2217717,2.561,594.0,2.81922,305.107,1164.0,5763.48,3.99846,1.21,10.0106,337.517756,-67.850146,PC
1461,11.5472009,1.0326107,663.4411526,3.1457403,141.4530508,879.5749032,5763.48,3.99846,1.20847,10.0106,337.517756,-67.850146,PC
1462,3.36296,2.594,750.0,2.69668,414.8,1257.0,5420.0,4.5,0.9,10.8911,289.018075,-46.480756,FP
1463,4.98668,2.267,860.0,5.51463,339.923,1196.0,6046.0,4.06,1.64,10.6658,294.572181,-46.398078,PC
1464,14.445918,1.533311,1273.806981,3.290507,37.1099416,629.4950471,5063.0,4.48439,0.87237,10.2733,339.677571,-25.631849,FA
1465,1.79217,1.797,1710.0,21.4342,436.663,1273.0,4884.0,4.33,4.7,10.9198,304.452849,-44.968454,FP
1466,5.46278,1.274,2982.0,19.5752,281.499,1141.0,5801.0,4.33,1.69,8.565,308.563699,-48.274725,FA
1467,11.45959,0.956,650.0,10.5098,365.719,1185.0,5801.0,4.33,1.23369,8.776,301.540122,-33.667484,PC
1468,2.50876,1.02,5600.0,18.7769,324.413,1182.0,5226.0,4.28,1.13,10.9896,296.919659,-32.575966,APC
1469,2.91615,1.481,2280.0,13.4791,253.391,1111.0,6103.0,3.64,2.69,10.7837,299.229827,-35.397179,APC
1470,17.14012,1.176,2180.0,8.14257,5.93171,434.0,6378.0,4.1,1.67,10.8988,41.091524,-74.789817,APC
1471,3.5315897,2.689,7230.0,14.2116,551.242,1349.0,6209.0,4.09,1.62,10.8673,20.166011,-86.979965,CP
1472,0.49642,0.572,1000.0,5.57222,2758.3,2018.0,7000.0,4.33,1.41,10.9987,302.999475,-37.561663,FP
1473,3.3904897,2.878,260.0,2.40673,764.344,1464.0,6113.8,4.19,1.43,10.7188,67.657808,-70.35491,PC
1474,92.1951455,4.011,4530.0,18.1885,0.785468,262.0,5030.6,4.33,3.0,10.7891,65.410196,-67.467038,FP
1475,705.5844658,1.9189212,101204.8459939,17.179547,16.720729,515.743249,3689.0,4.78104,0.487,11.1427,1.977969,-29.979603,APC
1476,3.06555,2.483,2920.0,5.41363,1605.05,1763.0,5285.0,4.7,0.71,10.9931,290.986777,-36.910419,FP
1477,3.3243,2.337,1150.0,21.7252,181.989,1023.0,4779.7,4.33,5.76,10.1738,295.256495,-27.859275,PC
1478,6.53144,5.713,700.0,6.77621,808.553,1485.0,6037.2,3.66,2.58,9.9279,315.171774,-35.871099,PC
1479,5.41418,4.428,7850.0,10.5098,816.558,1489.0,6664.0,4.33,1.23369,10.8068,310.483615,-38.878009,APC
1480,5.46377,1.036,4010.0,12.894,23.3924,612.0,5286.9,4.33,1.95,9.1984,308.563502,-48.274841,PC
1481,3.7981107,3.914,750.0,4.13478,911.152,1530.0,5042.0,4.04,1.51,10.8366,117.281011,-80.893886,PC
1482,2.9663437,4.44,206.0,2.02837,2291.32,1927.0,5807.0,4.14,1.59,9.9676,113.043495,-65.811395,FP
