,orbital_period,transit_duration,transit_depth,planet_radius,insolation_flux,equilibrium_temperature,stellar_teff,stellar_logg,stellar_radius,stellar_mag,ra,dec,target
9240,6.4375108,2.572,730.0,2.10567,99.2729,879.0,5203.0,4.65,0.74,12.1851,70.371711,-60.407556,CANDIDATE
9241,0.9997277,1.574,4890.0,10.9188,2105.63,1887.0,5849.8,4.05,1.61,13.0211,91.802333,35.958044,CANDIDATE
9242,1.4753526,3.29,870.0,5.30533,4142.31,2235.0,5732.0,3.93,1.81,11.2925,200.464421,-62.542122,CANDIDATE
9243,204.818268,1.93,303.6,5.18,17.9,525.0,6060.0,3.65,2.93,11.784,299.59756,44.07642,FALSE POSITIVE
9244,10.95663,3.588,3830.0,23.9726,619.065,1389.0,6456.0,3.92,2.07,10.5024,292.604815,-46.278074,CANDIDATE
9245,0.569115097,3.5028,585600.0,156.15,29827.37,3357.0,7174.0,4.13,1.705,16.747,290.64828,41.23407,FALSE POSITIVE
9246,17.76076524,1.6679,1287.2,1.93,4.34,368.0,3826.0,4.744,0.516,15.22,290.7084,42.237251,CONFIRMED
9247,6.84639884,3.4919,149.7,1.9,387.84,1132.0,6065.0,4.251,1.31,13.137,295.29385,48.374802,CANDIDATE
9248,4.2607797,6.4465003,3857.0364187,13.7822358,3322.0021575,1936.2869886,7409.0,4.0,2.1503201,11.9399,110.150431,72.7594,CANDIDATE
9249,8.1744382,2.6721445,22628.9295034,10.5098,158.3964604,904.8073455,5051.3,4.33,1.23369,12.9676,86.594255,59.521666,CANDIDATE
9250,20.686460198,37.7424,136150.0,184.22,506.27,1210.0,4809.0,3.106,5.145,13.957,295.90674,45.724098,FALSE POSITIVE
9251,93.006,2.461,125.4,1.97,15.18,503.0,5518.0,3.973,1.742,12.979,285.40842,49.763641,CANDIDATE
9252,4.159816554,1.6261,160.3,0.86,78.4,759.0,4499.0,4.635,0.639,13.177,291.50616,46.895741,CONFIRMED
